datetime,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2025-12-24T07:50:00-05:00,622.45,622.45,622.45,622.45,280.0,622.39,622.45,622.39,622.43,622.41,622.47,622.41,622.45
2025-12-24T07:51:00-05:00,622.43,622.46,622.43,622.46,190.0,622.43,622.46,622.41,622.45,622.45,622.48,622.44,622.47
2025-12-24T07:52:00-05:00,622.45,622.46,622.45,622.45,383.0,622.45,622.46,622.43,622.45,622.47,622.48,622.45,622.47
2025-12-24T07:53:00-05:00,622.46,622.49,622.45,622.45,794.0,622.45,622.49,622.45,622.45,622.47,622.5,622.47,622.48
2025-12-24T07:54:00-05:00,622.43,622.44,622.43,622.43,60.0,622.45,622.45,622.43,622.43,622.48,622.48,622.45,622.46
2025-12-24T07:55:00-05:00,622.46,622.48,622.46,622.48,1605.0,622.43,622.48,622.43,622.48,622.46,622.49,622.45,622.49
2025-12-24T07:56:00-05:00,622.49,622.5,622.49,622.5,2825.0,622.48,622.5,622.47,622.48,622.49,622.51,622.49,622.5
2025-12-24T07:57:00-05:00,622.46,622.46,622.46,622.46,139.0,622.48,622.49,622.45,622.45,622.5,622.5,622.46,622.46
2025-12-24T07:58:00-05:00,622.45,622.54,622.45,622.51,1622.0,622.45,622.53,622.44,622.5,622.46,622.55,622.45,622.53
2025-12-24T07:59:00-05:00,622.52,622.52,622.52,622.52,190.0,622.5,622.54,622.5,622.5,622.53,622.56,622.52,622.52
2025-12-24T08:00:00-05:00,622.5,622.54,621.59,621.9,46818.0,622.5,622.51,622.37,622.39,622.52,622.52,622.4,622.41
2025-12-24T08:01:00-05:00,621.79,622.44,621.7,622.42,2356.0,622.39,622.44,622.37,622.41,622.41,622.45,622.4,622.43
2025-12-24T08:02:00-05:00,621.97,622.42,621.97,622.39,190.0,622.41,622.41,622.33,622.33,622.43,622.43,622.36,622.36
2025-12-24T08:03:00-05:00,622.32,622.32,622.29,622.32,327.0,622.33,622.34,622.28,622.29,622.36,622.36,622.3,622.32
2025-12-24T08:04:00-05:00,622.32,622.35,622.31,622.35,718.0,622.29,622.37,622.28,622.35,622.32,622.39,622.32,622.39
2025-12-24T08:05:00-05:00,622.37,622.39,622.37,622.38,3675.0,622.35,622.37,622.33,622.34,622.39,622.39,622.35,622.36
2025-12-24T08:06:00-05:00,622.32,622.58,622.3,622.34,440.0,622.34,622.35,622.29,622.33,622.36,622.38,622.32,622.36
2025-12-24T08:07:00-05:00,622.33,622.35,622.32,622.35,217.0,622.33,622.36,622.28,622.34,622.36,622.38,622.31,622.37
2025-12-24T08:08:00-05:00,622.37,622.37,622.32,622.33,472.0,622.34,622.36,622.3,622.32,622.37,622.37,622.32,622.34
2025-12-24T08:09:00-05:00,622.27,622.27,622.18,622.18,441.0,622.32,622.32,622.14,622.16,622.34,622.34,622.16,622.19
2025-12-24T08:10:00-05:00,622.17,622.21,622.17,622.21,2955.0,622.16,622.24,622.14,622.23,622.19,622.25,622.18,622.24
2025-12-24T08:11:00-05:00,622.22,622.22,622.18,622.22,1140.0,622.23,622.24,622.16,622.2,622.24,622.25,622.19,622.22
2025-12-24T08:12:00-05:00,622.2,622.29,622.2,622.23,787.0,622.2,622.29,622.2,622.24,622.22,622.3,622.22,622.26
2025-12-24T08:13:00-05:00,622.26,622.33,622.25,622.33,761.0,622.24,622.33,622.23,622.3,622.26,622.35,622.26,622.33
2025-12-24T08:14:00-05:00,622.31,622.32,622.28,622.29,1120.0,622.3,622.31,622.27,622.27,622.33,622.33,622.29,622.29
2025-12-24T08:15:00-05:00,622.27,622.36,622.27,622.34,1255.0,622.27,622.35,622.25,622.34,622.29,622.36,622.26,622.35
2025-12-24T08:16:00-05:00,622.35,622.36,622.29,622.29,2193.0,622.34,622.35,622.27,622.31,622.35,622.36,622.3,622.32
2025-12-24T08:17:00-05:00,622.34,622.4,622.34,622.4,1105.0,622.31,622.39,622.3,622.39,622.32,622.41,622.32,622.41
2025-12-24T08:18:00-05:00,622.39,622.39,622.37,622.37,520.0,622.39,622.39,622.36,622.36,622.41,622.41,622.38,622.38
2025-12-24T08:19:00-05:00,622.36,622.36,622.36,622.36,153.0,622.36,622.37,622.34,622.36,622.38,622.39,622.36,622.38
2025-12-24T08:20:00-05:00,622.38,622.42,622.37,622.37,711.0,622.36,622.43,622.34,622.34,622.38,622.43,622.36,622.36
2025-12-24T08:21:00-05:00,622.34,622.34,622.29,622.29,963.0,622.34,622.34,622.28,622.29,622.36,622.36,622.29,622.31
2025-12-24T08:22:00-05:00,622.3,622.34,622.3,622.31,1430.0,622.29,622.34,622.28,622.31,622.31,622.35,622.29,622.33
2025-12-24T08:23:00-05:00,622.33,622.35,622.33,622.33,1430.0,622.31,622.34,622.31,622.32,622.33,622.35,622.32,622.33
2025-12-24T08:24:00-05:00,622.3,622.37,622.3,622.36,3118.0,622.32,622.37,622.3,622.33,622.33,622.38,622.31,622.36
2025-12-24T08:25:00-05:00,622.34,622.4,622.34,622.39,2215.0,622.33,622.4,622.32,622.38,622.36,622.4,622.34,622.4
2025-12-24T08:26:00-05:00,622.38,622.38,622.34,622.38,1342.0,622.38,622.39,622.32,622.37,622.4,622.4,622.34,622.4
2025-12-24T08:27:00-05:00,622.39,622.39,622.36,622.36,140.0,622.37,622.38,622.32,622.34,622.4,622.4,622.37,622.37
2025-12-24T08:28:00-05:00,622.34,622.39,622.34,622.38,303.0,622.34,622.38,622.32,622.38,622.37,622.4,622.36,622.39
2025-12-24T08:29:00-05:00,622.39,622.41,622.37,622.38,1311.0,622.38,622.4,622.37,622.37,622.39,622.43,622.39,622.42
2025-12-24T08:30:00-05:00,622.37,622.64,622.37,622.63,7596.0,622.37,622.64,622.32,622.62,622.42,622.68,622.4,622.67
2025-12-24T08:31:00-05:00,622.59,622.65,622.45,622.45,6061.0,622.62,622.66,622.43,622.47,622.67,622.68,622.47,622.51
2025-12-24T08:32:00-05:00,622.52,622.52,622.43,622.45,3599.0,622.47,622.52,622.41,622.41,622.51,622.54,622.45,622.46
2025-12-24T08:33:00-05:00,622.47,622.48,622.43,622.43,502.0,622.41,622.47,622.41,622.42,622.46,622.5,622.46,622.46
2025-12-24T08:34:00-05:00,622.42,622.44,622.35,622.35,768.0,622.42,622.44,622.33,622.34,622.46,622.46,622.35,622.37
2025-12-24T08:35:00-05:00,622.33,622.41,622.33,622.41,3706.0,622.34,622.42,622.33,622.39,622.37,622.45,622.35,622.42
2025-12-24T08:36:00-05:00,622.4,622.41,622.37,622.37,1109.0,622.39,622.41,622.33,622.33,622.42,622.44,622.36,622.37
2025-12-24T08:37:00-05:00,622.33,622.45,622.33,622.45,781.0,622.33,622.44,622.33,622.43,622.37,622.46,622.34,622.46
2025-12-24T08:38:00-05:00,622.43,622.5,622.43,622.46,2394.0,622.43,622.49,622.42,622.46,622.46,622.51,622.45,622.5
